Site_ID,z,area_m,volume_m3
JB-SW,1.6600000000000001,3589,7057.527679672242
JB-SW,1.67,3589,7093.417679672248
JB-SW,1.68,3589,7129.30767967224
JB-SW,1.69,3589,7165.197679672246
JB-SW,1.7,3589,7201.087679672239
JB-SW,1.71,3589,7236.977679672244
JB-SW,1.72,3589,7272.8676796722375
JB-SW,1.73,3589,7308.757679672242
JB-SW,1.74,3589,7344.647679672235
JB-SW,1.75,3589,7380.537679672241
JB-SW,1.76,3589,7416.427679672247
JB-SW,1.77,3589,7452.31767967224
JB-SW,1.78,3589,7488.207679672245
JB-SW,1.79,3589,7524.097679672238
JB-SW,1.8,3589,7559.987679672244
JB-SW,1.81,3589,7595.877679672237
JB-SW,1.82,3589,7631.767679672243
JB-SW,1.83,3589,7667.657679672235
JB-SW,1.84,3589,7703.5476796722405
JB-SW,1.85,3589,7739.437679672246
JB-SW,1.86,3589,7775.327679672239
JB-SW,1.87,3589,7811.217679672245
JB-SW,1.8800000000000001,3589,7847.107679672237
JB-SW,1.8900000000000001,3589,7882.997679672243
JB-SW,1.9000000000000001,3589,7918.887679672236
JB-SW,1.9100000000000001,3589,7954.777679672242
JB-SW,1.92,3589,7990.667679672248
JB-SW,1.93,3589,8026.55767967224
JB-SW,1.94,3589,8062.447679672246
JB-SW,1.95,3589,8098.337679672239
JB-SW,1.96,3589,8134.227679672244
JB-SW,1.97,3589,8170.1176796722375
JB-SW,1.98,3589,8206.007679672242
JB-SW,1.99,3589,8241.897679672236
JB-SW,2,3589,8277.787679672241
NB-SW,0,1,0
NB-SW,0.01,4,0.05637077331543594
NB-SW,0.02,9,0.27792709350585554
NB-SW,0.03,13,0.587233200073257
NB-SW,0.04,24,1.5461072540282998
NB-SW,0.05,31,2.4382522583008033
NB-SW,0.06,36,3.330104980468704
NB-SW,0.07,47,5.166571655273451
NB-SW,0.08,52,6.41011444091788
NB-SW,0.09,61,8.508590927124015
NB-SW,0.1,66,10.098701095581148
NB-SW,0.11,75,12.688470840454059
NB-SW,0.12,82,15.078941192627035
NB-SW,0.13,89,17.678806610107333
NB-SW,0.14,94,19.936103973388725
NB-SW,0.15,110,25.58358192443832
NB-SW,0.16,125,31.416034698486346
NB-SW,0.17,136,36.35611068725609
NB-SW,0.18,156,44.830291824340776
NB-SW,0.19,178,54.64676506042503
NB-SW,0.2,192,61.96609725952135
NB-SW,0.21,211,71.77665382385271
NB-SW,0.22,229,81.69668090820286
NB-SW,0.23,240,89.00217742919932
NB-SW,0.24,253,97.57233116149862
NB-SW,0.25,269,108.02627754211426
NB-SW,0.26,285,118.96374282836959
NB-SW,0.27,302,130.90803436279285
NB-SW,0.28,319,143.37397224426306
NB-SW,0.29,338,157.50912811279267
NB-SW,0.3,360,173.96932411193873
NB-SW,0.31,377,188.03510963439894
NB-SW,0.32,396,203.87508270263683
NB-SW,0.33,415,220.28622932434013
NB-SW,0.34,430,234.5622970581054
NB-SW,0.35000000000000003,443,247.8903701782233
NB-SW,0.36,456,261.5979177093503
NB-SW,0.37,462,270.56177276611373
NB-SW,0.38,471,281.9733338165278
NB-SW,0.39,477,291.3332093048098
NB-SW,0.4,483,300.86202354431083
NB-SW,0.41000000000000003,486,308.133706817627
NB-SW,0.42,490,316.3243530273446
NB-SW,0.43,491,322.0840557861327
NB-SW,0.44,492,327.86788223266666
NB-SW,0.45,493,333.6832862854
NB-SW,0.46,493,338.6132862854008
NB-SW,0.47000000000000003,494,344.4763047027582
NB-SW,0.48,495,350.3671489715578
NB-SW,0.49,495,355.31714897155683
NB-SW,0.5,495,360.2671489715576
