Site_ID,z,area_m,volume_m3
JB-SW,1.06,3702,5086.085921401973
JB-SW,1.07,3702,5123.105921401979
JB-SW,1.08,3702,5160.125921401971
JB-SW,1.09,3702,5197.145921401977
JB-SW,1.1,3702,5234.165921401983
JB-SW,1.11,3702,5271.185921401975
JB-SW,1.12,3702,5308.205921401981
JB-SW,1.1300000000000001,3702,5345.225921401974
JB-SW,1.1400000000000001,3702,5382.24592140198
JB-SW,1.1500000000000001,3702,5419.265921401972
JB-SW,1.16,3702,5456.285921401978
JB-SW,1.17,3702,5493.305921401984
JB-SW,1.18,3702,5530.325921401976
JB-SW,1.19,3702,5567.345921401982
JB-SW,1.2,3702,5604.365921401975
JB-SW,1.21,3702,5641.38592140198
JB-SW,1.22,3702,5678.4059214019735
JB-SW,1.23,3702,5715.425921401979
JB-SW,1.24,3702,5752.445921401972
JB-SW,1.25,3702,5789.4659214019775
NB-SW,0,1,0
NB-SW,0.01,4,0.05637077331543594
NB-SW,0.02,9,0.27792709350585554
NB-SW,0.03,13,0.587233200073257
NB-SW,0.04,24,1.5461072540282998
NB-SW,0.05,31,2.4382522583008033
NB-SW,0.06,36,3.330104980468704
NB-SW,0.07,47,5.166571655273451
NB-SW,0.08,52,6.41011444091788
NB-SW,0.09,61,8.508590927124015
NB-SW,0.1,66,10.098701095581148
NB-SW,0.11,75,12.688470840454059
NB-SW,0.12,82,15.078941192627035
NB-SW,0.13,89,17.678806610107333
NB-SW,0.14,94,19.936103973388725
NB-SW,0.15,110,25.58358192443832
NB-SW,0.16,125,31.416034698486346
NB-SW,0.17,136,36.35611068725609
NB-SW,0.18,156,44.830291824340776
NB-SW,0.19,178,54.64676506042503
NB-SW,0.2,192,61.96609725952135
NB-SW,0.21,211,71.77665382385271
NB-SW,0.22,229,81.69668090820286
NB-SW,0.23,240,89.00217742919932
NB-SW,0.24,253,97.57233116149862
NB-SW,0.25,269,108.02627754211426
NB-SW,0.26,285,118.96374282836959
NB-SW,0.27,302,130.90803436279285
NB-SW,0.28,320,143.92410621643103
NB-SW,0.29,340,158.643102264404
NB-SW,0.3,363,175.71561470031764
NB-SW,0.31,384,192.27220443725537
NB-SW,0.32,404,208.81381347656261
NB-SW,0.33,423,225.3049600982659
NB-SW,0.34,440,241.01566276550287
NB-SW,0.35000000000000003,454,255.1430152893073
NB-SW,0.36,468,269.6754498291013
NB-SW,0.37,474,278.7593048858647
NB-SW,0.38,485,291.79779510497997
NB-SW,0.39,494,303.61688819885285
